-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::add         0.08%     130.078us         0.13%     215.361us       5.821us      40.576us         0.06%      40.576us       1.097us           0 b           0 b     296.00 Kb     296.00 Kb            37                                                                  [[2048], [], []]     75776.000  
                                              aten::bmm         0.11%     173.080us         0.13%     208.107us      20.811us      11.999us         0.02%      11.999us       1.200us           0 b           0 b     255.00 Kb     255.00 Kb            10                                                         [[1, 128, 1], [1, 1, 51]]    130560.000  
                                              aten::mul         0.01%      10.020us         0.01%      14.397us      14.397us       0.959us         0.00%       0.959us       0.959us           0 b           0 b     192.00 Kb     192.00 Kb             1                                                               [[1, 48, 2048], []]     98304.000  
                                             aten::mean         1.35%       2.184ms         1.93%       3.124ms       8.442us       1.145ms         1.69%       1.145ms       3.094us           0 b           0 b     185.00 Kb     185.00 Kb           370                                                       [[1, 51, 1024], [], [], []]            --  
                                              aten::add         0.90%       1.465ms         1.46%       2.360ms       6.379us     356.717us         0.53%     356.717us       0.964us           0 b           0 b     185.00 Kb     185.00 Kb           370                                                              [[1, 51, 1], [], []]     18870.000  
                                            aten::rsqrt         0.84%       1.365ms         1.41%       2.286ms       6.179us     376.923us         0.56%     376.923us       1.019us           0 b           0 b     185.00 Kb     185.00 Kb           370                                                                      [[1, 51, 1]]            --  
                                              aten::mul         0.09%     144.151us         0.15%     240.022us       6.001us      44.576us         0.07%      44.576us       1.114us           0 b           0 b     160.00 Kb     160.00 Kb            40                                                                       [[512], []]     20480.000  
                                             aten::mean         0.14%     232.604us         0.20%     325.916us       8.809us     172.319us         0.25%     172.319us       4.657us           0 b           0 b     129.50 Kb     129.50 Kb            37                                                      [[1, 816, 2048], [], [], []]            --  
                                              aten::add         0.09%     150.956us         0.15%     240.089us       6.489us      42.912us         0.06%      42.912us       1.160us           0 b           0 b     129.50 Kb     129.50 Kb            37                                                             [[1, 816, 1], [], []]     30192.000  
                                            aten::rsqrt         0.09%     146.140us         0.15%     238.348us       6.442us      42.591us         0.06%      42.591us       1.151us           0 b           0 b     129.50 Kb     129.50 Kb            37                                                                     [[1, 816, 1]]            --  
                                       aten::reciprocal         0.03%      50.349us         0.05%      83.338us       8.334us      16.128us         0.02%      16.128us       1.613us           0 b           0 b      40.00 Kb      40.00 Kb            10                                                                           [[512]]            --  
                                              aten::mul         0.03%      47.695us         0.05%      77.846us       7.785us      27.681us         0.04%      27.681us       2.768us           0 b           0 b      40.00 Kb      40.00 Kb            10                                                                [[1, 512], [1, 1]]      5120.000  
                                              aten::sin         0.03%      47.795us         0.05%      77.307us       7.731us      35.200us         0.05%      35.200us       3.520us           0 b           0 b      40.00 Kb      40.00 Kb            10                                                                        [[1, 512]]            --  
                                              aten::cos         0.03%      48.749us         0.05%      77.490us       7.749us      35.841us         0.05%      35.841us       3.584us           0 b           0 b      40.00 Kb      40.00 Kb            10                                                                        [[1, 512]]            --  
                                              aten::pow         0.05%      79.083us         0.17%     275.286us      27.529us       0.000us         0.00%      70.529us       7.053us           0 b           0 b      40.00 Kb      35.00 Kb            10                                                                       [[], [512]]            --  
                                              aten::mul         0.03%      48.662us         0.05%      75.051us       7.505us      13.376us         0.02%      13.376us       1.338us           0 b           0 b      35.00 Kb      35.00 Kb            10                                                                 [[], [1, 50, 16]]        10.000  
                                              aten::add         0.03%      42.152us         0.04%      68.839us       6.884us      12.608us         0.02%      12.608us       1.261us           0 b           0 b      35.00 Kb      35.00 Kb            10                                                    [[1, 50, 16], [1, 50, 16], []]      8000.000  
                                               aten::le         0.04%      68.396us         0.06%     103.992us      10.399us      15.998us         0.02%      15.998us       1.600us           0 b           0 b      30.00 Kb      30.00 Kb            10                                                          [[1, 1, 51], [1, 51, 1]]            --  
                                              aten::mul         0.03%      52.118us         0.05%      81.275us       8.127us      15.904us         0.02%      15.904us       1.590us           0 b           0 b      30.00 Kb      30.00 Kb            10                                                          [[1, 1, 51], [1, 51, 1]]       510.000  
                                      aten::bitwise_and         0.04%      65.096us         0.06%      92.936us       9.294us      14.368us         0.02%      14.368us       1.437us           0 b           0 b      30.00 Kb      30.00 Kb            10                                                        [[1, 51, 51], [1, 51, 51]]            --  
                                              aten::sub         0.00%       7.671us         0.01%      11.839us      11.839us       1.152us         0.00%       1.152us       1.152us           0 b           0 b       6.50 Kb       6.50 Kb             1                                                                [[1, 816], [], []]            --  
                                              aten::neg         0.03%      52.455us         0.05%      85.342us       7.758us      10.398us         0.02%      10.398us       0.945us           0 b           0 b       5.50 Kb       5.50 Kb            11                                                                              [[]]            --  
                                              aten::div         0.04%      65.717us         0.07%     106.537us       9.685us      10.750us         0.02%      10.750us       0.977us           0 b           0 b       5.50 Kb       5.50 Kb            11                                                                          [[], []]            --  
                                               aten::ge         0.04%      67.681us         0.06%      99.898us       9.082us      13.186us         0.02%      13.186us       1.199us           0 b           0 b       5.50 Kb       5.50 Kb            11                                                                          [[], []]            --  
                                           aten::cumsum         0.15%     244.495us         0.29%     477.039us      23.852us      46.209us         0.07%      57.185us       2.859us           0 b           0 b      10.00 Kb       5.00 Kb            20                                                                 [[1, 51], [], []]            --  
                                              aten::add         0.04%      58.151us         0.05%      88.608us       8.861us      12.832us         0.02%      12.832us       1.283us           0 b           0 b       5.00 Kb       5.00 Kb            10                                                             [[1, 1], [1, 51], []]        10.000  
                                              aten::sub         0.03%      54.990us         0.05%      83.245us       8.324us      10.176us         0.02%      10.176us       1.018us           0 b           0 b       5.00 Kb       5.00 Kb            10                                                                 [[1, 51], [], []]            --  
                                              aten::mul         0.00%       4.740us         0.00%       7.101us       7.101us       1.343us         0.00%       1.343us       1.343us           0 b           0 b       1.50 Kb       1.50 Kb             1                                                                 [[1, 50, 7], [7]]       350.000  
                                              aten::add         0.00%       4.799us         0.01%       8.595us       8.595us       1.503us         0.00%       1.503us       1.503us           0 b           0 b       1.50 Kb       1.50 Kb             1                                                             [[1, 50, 7], [7], []]       350.000  
                                              aten::add         0.01%      11.642us         0.01%      16.690us      16.690us       1.056us         0.00%       1.056us       1.056us           0 b           0 b         512 b         512 b             1                                                                    [[13], [], []]        13.000  
                                              aten::sub         0.00%       7.718us         0.01%      11.202us      11.202us       1.056us         0.00%       1.056us       1.056us           0 b           0 b         512 b         512 b             1                                                               [[1, 13], [13], []]            --  
                                              aten::div         0.00%       7.259us         0.01%      11.269us      11.269us       1.216us         0.00%       1.216us       1.216us           0 b           0 b         512 b         512 b             1                                                                   [[1, 13], [13]]            --  
                                              aten::add         0.00%       5.519us         0.01%       8.954us       8.954us       1.088us         0.00%       1.088us       1.088us           0 b           0 b         512 b         512 b             1                                                                     [[7], [], []]         7.000  
                                            aten::randn         0.02%      26.598us         0.24%     382.197us     382.197us       0.000us         0.00%       1.568us       1.568us           0 b           0 b         512 b           0 b             1                                                              [[], [], [], [], []]            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
Self CPU time total: 161.904ms
Self CUDA time total: 67.658ms
