-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::add         0.86%       1.411ms         1.46%       2.375ms       6.597us     362.442us         0.54%     362.442us       1.007us           0 b           0 b      35.86 Mb      35.86 Mb           360                                                [[1, 51, 1024], [1, 51, 1024], []]  18800640.000  
                                            aten::addmm         0.09%     142.930us         0.15%     240.610us      24.061us      47.968us         0.07%      47.968us       4.797us           0 b           0 b       1.95 Mb      -8.05 Mb            10                                            [[1024], [50, 16], [16, 1024], [], []]  16384000.000  
                                            aten::addmm         0.13%     207.692us         0.19%     302.101us      30.210us      60.929us         0.09%      60.929us       6.093us           0 b           0 b      35.00 Kb      -9.97 Mb            10                                            [[16], [50, 1024], [1024, 16], [], []]  16384000.000  
                                              aten::mul         0.07%     122.287us         0.13%     205.216us       5.700us      43.265us         0.06%      43.265us       1.202us           0 b           0 b      14.34 Mb      14.34 Mb            36                                              [[1, 1, 816, 256], [1, 1, 816, 256]]   7520256.000  
                                              aten::mul         0.75%       1.221ms         1.27%       2.079ms       5.775us     371.555us         0.55%     371.555us       1.032us           0 b           0 b       8.96 Mb       8.96 Mb           360                                                [[1, 1, 51, 256], [1, 1, 51, 256]]   4700160.000  
                                              aten::add         0.04%      59.093us         0.07%     107.221us       5.957us      21.889us         0.03%      21.889us       1.216us           0 b           0 b       7.17 Mb       7.17 Mb            18                                          [[1, 1, 816, 256], [1, 1, 816, 256], []]   3760128.000  
                                              aten::add         0.38%     617.533us         0.63%       1.031ms       5.729us     189.220us         0.28%     189.220us       1.051us           0 b           0 b       4.48 Mb       4.48 Mb           180                                            [[1, 1, 51, 256], [1, 1, 51, 256], []]   2350080.000  
                                            aten::addmm         0.09%     154.533us         0.13%     219.098us      21.910us      18.879us         0.03%      18.879us       1.888us           0 b           0 b      40.00 Kb      -9.96 Mb            10                                             [[1024], [1, 32], [32, 1024], [], []]    655360.000  
                                              aten::mul         0.02%      24.640us         0.02%      39.182us      13.061us       3.360us         0.00%       3.360us       1.120us           0 b           0 b       1.72 Mb       1.72 Mb             3                                                            [[1, 224, 224, 3], []]    451584.000  
                                              aten::mul         0.01%       9.332us         0.01%      14.799us       7.399us       2.432us         0.00%       2.432us       1.216us           0 b           0 b       1.59 Mb       1.59 Mb             2                                                               [[1, 816, 256], []]    417792.000  
                                              aten::add         0.82%       1.334ms         1.34%       2.192ms       5.923us     401.805us         0.59%     401.805us       1.086us           0 b           0 b       1.45 Mb       1.45 Mb           370                                                                  [[1024], [], []]    378880.000  
                                              aten::mul         0.06%      99.889us         0.09%     151.672us       7.584us      19.971us         0.03%      19.971us       0.999us           0 b           0 b    1020.00 Kb    1020.00 Kb            20                                                                [[1, 51, 256], []]    261120.000  
                                              aten::bmm         0.02%      25.411us         0.02%      29.695us      29.695us       1.216us         0.00%       1.216us       1.216us           0 b           0 b     408.00 Kb     408.00 Kb             1                                                        [[1, 128, 1], [1, 1, 816]]    208896.000  
                                              aten::bmm         0.11%     178.935us         0.13%     215.853us      21.585us      11.969us         0.02%      11.969us       1.197us           0 b           0 b     255.00 Kb     255.00 Kb            10                                                         [[1, 128, 1], [1, 1, 51]]    130560.000  
                                              aten::mul         0.01%       8.492us         0.01%      12.246us      12.246us       0.961us         0.00%       0.961us       0.961us           0 b           0 b     192.00 Kb     192.00 Kb             1                                                               [[1, 48, 2048], []]     98304.000  
                                              aten::add         0.08%     128.903us         0.13%     218.925us       5.917us      40.286us         0.06%      40.286us       1.089us           0 b           0 b     296.00 Kb     296.00 Kb            37                                                                  [[2048], [], []]     75776.000  
                                              aten::add         0.09%     146.537us         0.14%     233.417us       6.309us      43.295us         0.06%      43.295us       1.170us           0 b           0 b     129.50 Kb     129.50 Kb            37                                                             [[1, 816, 1], [], []]     30192.000  
                                              aten::mul         0.09%     151.715us         0.16%     262.285us       6.557us      44.287us         0.07%      44.287us       1.107us           0 b           0 b     160.00 Kb     160.00 Kb            40                                                                       [[512], []]     20480.000  
                                              aten::add         0.91%       1.491ms         1.47%       2.401ms       6.488us     356.548us         0.53%     356.548us       0.964us           0 b           0 b     185.00 Kb     185.00 Kb           370                                                              [[1, 51, 1], [], []]     18870.000  
                                              aten::add         0.03%      43.016us         0.04%      70.186us       7.019us      12.354us         0.02%      12.354us       1.235us           0 b           0 b      35.00 Kb      35.00 Kb            10                                                    [[1, 50, 16], [1, 50, 16], []]      8000.000  
                                              aten::mul         0.03%      49.588us         0.05%      82.593us       8.259us      26.818us         0.04%      26.818us       2.682us           0 b           0 b      40.00 Kb      40.00 Kb            10                                                                [[1, 512], [1, 1]]      5120.000  
                                              aten::mul         0.00%       5.734us         0.01%       9.130us       9.130us       2.272us         0.00%       2.272us       2.272us           0 b           0 b     650.50 Kb     650.50 Kb             1                                                        [[1, 1, 816], [1, 816, 1]]       816.000  
                                              aten::mul         0.03%      55.106us         0.05%      87.357us       8.736us      15.776us         0.02%      15.776us       1.578us           0 b           0 b      30.00 Kb      30.00 Kb            10                                                          [[1, 1, 51], [1, 51, 1]]       510.000  
                                              aten::mul         0.00%       4.812us         0.00%       7.441us       7.441us       1.344us         0.00%       1.344us       1.344us           0 b           0 b       1.50 Kb       1.50 Kb             1                                                                 [[1, 50, 7], [7]]       350.000  
