-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                         aten::_flash_attention_forward         0.49%     785.351us         1.52%       2.454ms      30.300us     837.576us         1.24%     837.576us      10.340us           0 b           0 b      46.91 Mb    -316.41 Mb            81  [[1, 256, 16, 72], [1, 256, 16, 72], [1, 256, 16, 72], [], [], [], [], [], [], [            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     831.566us         1.23%     831.566us       2.100us           0 b           0 b           0 b           0 b           396                                                                                []            --  
                                            aten::copy_         0.28%     447.072us         0.54%     878.965us       5.232us     806.022us         1.19%     806.022us       4.798us           0 b           0 b           0 b           0 b           168                                              [[1, 256, 1152], [1, 256, 1152], []]            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     790.628us         1.17%     790.628us       2.834us           0 b           0 b           0 b           0 b           279                                                                                []            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     766.115us         1.13%     766.115us       1.290us           0 b           0 b           0 b           0 b           594                                                                                []            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     736.514us         1.09%     736.514us       1.762us           0 b           0 b           0 b           0 b           418                                                                                []            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     701.263us         1.04%     701.263us       1.771us           0 b           0 b           0 b           0 b           396                                                                                []            --  
                                              aten::mul         1.03%       1.676ms         1.59%       2.581ms       7.171us     657.097us         0.97%     657.097us       1.825us           0 b           0 b      71.72 Mb      71.72 Mb           360                                                [[1, 8, 51, 256], [1, 1, 51, 256]]  37601280.000  
                                              aten::add         0.55%     884.738us         0.98%       1.592ms       8.846us     648.258us         0.96%     648.258us       3.601us           0 b           0 b     262.79 Mb     262.79 Mb           180                                            [[1, 8, 51, 867], [1, 1, 51, 867], []]  63672480.000  
void pytorch_flash::flash_fwd_splitkv_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     604.230us         0.89%     604.230us       7.460us           0 b           0 b           0 b           0 b            81                                                                                []            --  
                                         aten::_softmax         0.57%     918.507us         0.90%       1.457ms       8.096us     600.102us         0.89%     600.102us       3.334us           0 b           0 b     270.00 Mb     270.00 Mb           180                                                         [[1, 8, 51, 867], [], []]            --  
                                              aten::add         0.44%     719.530us         0.70%       1.141ms       6.916us     594.770us         0.88%     594.770us       3.605us           0 b           0 b      94.50 Mb      94.50 Mb           165                                              [[1, 256, 1152], [1, 256, 1152], []]  48660480.000  
                                              aten::mul         0.85%       1.383ms         1.41%       2.278ms       6.158us     546.529us         0.81%     546.529us       1.477us           0 b           0 b      73.71 Mb      73.71 Mb           370                                                           [[1, 51, 1024], [1024]]  19322880.000  
                                aten::native_layer_norm         0.82%       1.334ms         2.78%       4.497ms      27.252us     544.132us         0.80%       1.346ms       8.159us           0 b           0 b      93.13 Mb     -92.81 Mb           165                                          [[1, 256, 1152], [], [1152], [1152], []]            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     544.132us         0.80%     544.132us       3.298us           0 b           0 b           0 b           0 b           165                                                                                []            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     542.676us         0.80%     542.676us       1.333us           0 b           0 b           0 b           0 b           407                                                                                []            --  
                                            aten::copy_         0.36%     588.410us         0.73%       1.185ms       4.875us     478.112us         0.71%     478.112us       1.968us           0 b           0 b           0 b           0 b           243                                          [[1, 16, 256, 72], [1, 16, 256, 72], []]            --  
                                              aten::bmm         0.09%     146.393us         0.12%     197.605us      10.978us     473.472us         0.70%     473.472us      26.304us           0 b           0 b      72.00 Mb      72.00 Mb            18                                                    [[8, 816, 816], [8, 816, 256]]  49092231168.000  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     473.472us         0.70%     473.472us      26.304us           0 b           0 b           0 b           0 b            18                                                                                []            --  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     455.430us         0.67%     455.430us      15.181us           0 b           0 b           0 b           0 b            30                                                                                []            --  
                                              aten::bmm         0.13%     203.397us         0.17%     267.168us      14.843us     425.734us         0.63%     425.734us      23.652us           0 b           0 b     182.88 Mb     182.88 Mb            18                                                    [[8, 816, 256], [8, 256, 816]]  49092231168.000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     419.514us         0.62%     419.514us       1.031us           0 b           0 b           0 b           0 b           407                                                                                []            --  
                                              aten::add         0.82%       1.332ms         1.35%       2.179ms       5.889us     405.322us         0.60%     405.322us       1.095us           0 b           0 b       1.45 Mb       1.45 Mb           370                                                                  [[1024], [], []]    378880.000  
                                               aten::mm         0.17%     278.797us         0.30%     492.222us      13.673us     389.478us         0.58%     389.478us      10.819us           0 b           0 b      14.34 Mb      14.34 Mb            36                                                        [[816, 2048], [2048, 256]]  30802968576.000  
                                            aten::rsqrt         0.84%       1.365ms         1.41%       2.286ms       6.179us     376.923us         0.56%     376.923us       1.019us           0 b           0 b     185.00 Kb     185.00 Kb           370                                                                      [[1, 51, 1]]            --  
                                              aten::mul         0.75%       1.217ms         1.27%       2.049ms       5.691us     375.487us         0.55%     375.487us       1.043us           0 b           0 b       8.96 Mb       8.96 Mb           360                                                [[1, 1, 51, 256], [1, 1, 51, 256]]   4700160.000  
                                              aten::pow         1.28%       2.080ms         1.93%       3.118ms       8.426us     372.561us         0.55%     372.561us       1.007us           0 b           0 b      73.71 Mb      73.71 Mb           370                                                               [[1, 51, 1024], []]            --  
                                              aten::add         0.84%       1.365ms         1.40%       2.260ms       6.277us     363.678us         0.54%     363.678us       1.010us           0 b           0 b      35.86 Mb      35.86 Mb           360                                                [[1, 51, 1024], [1, 51, 1024], []]  18800640.000  
                                              aten::add         0.05%      84.381us         0.08%     135.107us       7.506us     358.724us         0.53%     358.724us      19.929us           0 b           0 b     365.77 Mb     365.77 Mb            18                                          [[1, 8, 816, 816], [1, 1, 816, 816], []]  95883264.000  
                                              aten::add         0.90%       1.465ms         1.46%       2.360ms       6.379us     356.717us         0.53%     356.717us       0.964us           0 b           0 b     185.00 Kb     185.00 Kb           370                                                              [[1, 51, 1], [], []]     18870.000  
                                            aten::addmm         0.07%     108.730us         0.13%     215.918us      21.592us     341.827us         0.51%     341.827us      34.183us           0 b           0 b       1.95 Mb      -8.05 Mb            10                                        [[1024], [50, 2048], [2048, 1024], [], []]  2097152000.000  
                                              aten::add         0.48%     777.808us         0.77%       1.243ms       6.905us     341.508us         0.50%     341.508us       1.897us           0 b           0 b      35.86 Mb      35.86 Mb           180                                            [[1, 8, 51, 256], [1, 8, 51, 256], []]  18800640.000  
                                            aten::copy_         0.38%     612.947us         0.70%       1.141ms       6.339us     331.111us         0.49%     331.111us       1.840us           0 b           0 b           0 b           0 b           180                                            [[1, 51, 8, 256], [1, 51, 8, 256], []]            --  
                                             aten::gelu         0.06%      89.553us         0.09%     140.043us       7.780us     326.208us         0.48%     326.208us      18.123us           0 b           0 b     468.00 Mb     468.00 Mb            18                                                             [[1, 816, 16384], []]            --  
                                              aten::neg         0.54%     881.382us         0.84%       1.366ms       7.590us     321.928us         0.48%     321.928us       1.788us           0 b           0 b      17.93 Mb      17.93 Mb           180                                                                 [[1, 8, 51, 128]]            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     318.047us         0.47%     318.047us       1.598us           0 b           0 b           0 b           0 b           199                                                                                []            --  
                                         aten::_softmax         0.06%      98.615us         0.09%     150.485us       8.360us     314.374us         0.46%     314.374us      17.465us           0 b           0 b     365.77 Mb     365.77 Mb            18                                                        [[1, 8, 816, 816], [], []]            --  
                                            aten::copy_         0.12%     188.013us         0.24%     386.116us       5.218us     313.441us         0.46%     313.441us       4.236us           0 b           0 b           0 b           0 b            74                                              [[1, 816, 2048], [1, 816, 2048], []]            --  
                                              aten::neg         0.41%     663.276us         0.68%       1.100ms       6.113us     299.619us         0.44%     299.619us       1.665us           0 b           0 b       2.29 Mb       2.29 Mb           180                                                                 [[1, 1, 51, 128]]            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     294.110us         0.43%     294.110us       1.634us           0 b           0 b           0 b           0 b           180                                                                                []            --  
                                             aten::gelu         0.55%     888.520us         0.86%       1.390ms       7.723us     271.456us         0.40%     271.456us       1.508us           0 b           0 b      71.72 Mb      71.72 Mb           180                                                               [[1, 51, 4096], []]            --  
                                              aten::mul         0.11%     175.014us         0.17%     267.285us       7.224us     256.001us         0.38%     256.001us       6.919us           0 b           0 b     235.88 Mb     235.88 Mb            37                                                     [[1, 816, 2048], [1, 816, 1]]  61833216.000  
                                            aten::copy_         0.32%     525.464us         0.60%     974.822us       5.416us     241.385us         0.36%     241.385us       1.341us           0 b           0 b           0 b           0 b           180                                            [[1, 8, 51, 867], [1, 8, 51, 867], []]            --  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     233.346us         0.34%     233.346us       2.881us           0 b           0 b           0 b           0 b            81                                                                                []            --  
                                              aten::mul         0.44%     710.502us         0.72%       1.170ms       6.498us     216.782us         0.32%     216.782us       1.204us           0 b           0 b      71.72 Mb      71.72 Mb           180                                                    [[1, 51, 4096], [1, 51, 4096]]  37601280.000  
